model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
Isolation Forest,0.943,0.1572700296735905,0.15634218289085547,0.15680473372781065,0.8020408057332357,0.11994540654804975,9377,284,286,53
One-Class SVM,0.9504,0.3227990970654628,0.4218289085545723,0.3657289002557545,0.8311063641518265,0.3448027209243025,9361,300,196,143
Random Forest,0.9845,0.8490566037735849,0.6617647058823529,0.743801652892562,0.9728983984898307,0.796665371040321,1924,8,23,45
