model,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,confusion_matrix,oob_score
Isolation Forest,0.9455,0.1746031746031746,0.16176470588235295,0.16793893129770993,0.8063953842406528,0.11002077520467939,1880,52,57,11,"[[1880, 52], [57, 11]]",
One-Class SVM,0.945,0.2717391304347826,0.36764705882352944,0.3125,0.7728504445256364,0.2732878948896857,1865,67,43,25,"[[1865, 67], [43, 25]]",
Random Forest,0.9845,0.8490566037735849,0.6617647058823529,0.743801652892562,0.9728983984898307,0.7966653710403211,1924,8,23,45,"[[1924, 8], [23, 45]]",0.98325
